,Total Population,% age 21+,% age 65+,% Race - White,% Race - Black,% Race - American Native,% Race  - Asian,% Race - Pacific Islander,% Race - Other,% Race - Hispanic/Latino,% Male,2021 Median Income,City,State,Region
31054,1768,73.2,14.9,96.2,3.6,1.4,0.7,0.0,2.9,3.2,0.5039592760180995,,mazomanie village,wisconsin,midwest
31055,4349,74.4,21.5,96.2,1.1,1.8,1.0,0.1,4.0,4.6,0.4853989422855829,,medford,wisconsin,midwest
31056,698,76.8,23.8,97.7,0.4,4.7,1.0,0.0,0.3,0.7,0.4828080229226361,,mellen,wisconsin,midwest
31057,544,69.5,18.0,97.4,0.9,0.9,0.4,0.0,4.6,2.9,0.5128676470588235,,melrose village,wisconsin,midwest
31058,93,75.3,10.8,95.7,1.1,3.2,4.3,0.0,1.1,2.2,0.5483870967741935,,melvina village,wisconsin,midwest
31059,18268,74.2,15.2,87.7,3.7,2.5,4.5,0.1,8.6,10.3,0.49934311364134004,,menasha,wisconsin,midwest
31060,38527,75.7,20.7,88.9,4.8,1.3,7.0,0.1,3.1,3.2,0.48311573701559946,,menomonee falls village,wisconsin,midwest
31061,16843,67.1,13.5,92.4,3.0,2.0,5.0,0.1,2.3,2.8,0.5179006115300124,,menomonie,wisconsin,midwest
31062,25142,72.4,23.8,90.7,3.9,0.9,6.0,0.1,3.8,3.5,0.4820618884734707,,mequon,wisconsin,midwest
31063,551,85.5,29.8,97.8,0.5,1.8,0.4,0.0,2.2,1.1,0.4827586206896552,,mercer,wisconsin,midwest
31064,9347,76.7,21.6,97.0,1.8,2.0,0.9,0.1,2.4,2.6,0.4812239221140473,,merrill,wisconsin,midwest
31065,562,73.1,21.0,88.3,2.5,8.2,0.9,0.2,8.0,6.6,0.5195729537366548,,merrillan village,wisconsin,midwest
31066,527,73.4,19.2,96.4,0.9,3.2,0.2,0.2,3.6,3.6,0.523719165085389,,merrimac village,wisconsin,midwest
31067,3441,66.1,9.6,96.5,1.4,1.0,2.5,0.1,2.2,1.8,0.5088637024120896,,merton village,wisconsin,midwest
31068,21827,76.5,18.3,86.1,5.3,1.5,8.4,0.1,6.3,6.8,0.47977275851010215,,middleton,wisconsin,midwest
31069,290,62.8,14.1,4.8,2.8,94.8,1.0,1.0,0.7,3.1,0.42758620689655175,,middle village,wisconsin,midwest
31070,268,68.7,17.2,98.1,0.7,0.4,0.0,0.0,1.9,1.9,0.5335820895522388,,milladore village,wisconsin,midwest
31071,113,84.1,30.1,93.8,1.8,8.0,2.7,0.9,0.0,1.8,0.4336283185840708,,millston,wisconsin,midwest
31072,948,76.9,21.6,98.1,0.7,2.1,0.1,0.1,2.8,2.1,0.510548523206751,,milltown village,wisconsin,midwest
31073,5716,73.1,17.3,96.8,1.3,1.3,1.3,0.1,3.6,3.8,0.4874037788663401,,milton,wisconsin,midwest
31074,577222,69.5,11.5,45.2,41.5,2.4,6.0,0.1,15.6,20.1,0.4822858449608643,28678,milwaukee,wisconsin,midwest
31075,291,69.8,14.8,91.1,0.3,1.0,8.2,0.0,2.1,0.3,0.5773195876288659,,mindoro,wisconsin,midwest
31076,2581,76.6,22.2,98.2,0.7,1.3,1.0,0.3,1.8,1.8,0.4843084075939558,,mineral point,wisconsin,midwest
31077,411,89.3,40.9,92.2,0.5,2.9,3.2,0.0,5.6,3.2,0.43309002433090027,,minocqua,wisconsin,midwest
31078,548,77.6,21.2,94.9,1.1,4.2,2.9,0.0,2.7,2.7,0.48905109489051096,,minong village,wisconsin,midwest
31079,1432,76.3,21.9,97.6,0.5,0.7,0.6,0.0,3.4,2.7,0.505586592178771,,mishicot village,wisconsin,midwest
31080,297,62.3,8.8,9.8,2.4,92.6,0.7,0.7,1.7,4.0,0.4781144781144781,,mission,wisconsin,midwest
31081,535,65.4,11.2,25.8,0.6,81.9,0.6,0.4,0.0,3.6,0.48598130841121495,,mole lake,wisconsin,midwest
31082,2845,73.6,21.5,97.6,1.4,2.0,0.9,0.5,2.5,3.0,0.4843585237258348,,mondovi,wisconsin,midwest
31083,8624,79.5,22.8,93.9,3.6,1.6,2.2,0.3,4.5,4.9,0.4850417439703154,,monona,wisconsin,midwest
31084,10661,76.0,22.0,93.9,1.3,1.7,1.2,0.2,7.0,7.6,0.48860332051402305,,monroe,wisconsin,midwest
31085,1448,79.8,25.6,97.2,1.5,3.0,1.2,0.1,2.8,2.6,0.48411602209944754,,montello,wisconsin,midwest
31086,705,71.3,18.2,96.0,1.6,1.3,0.9,0.0,3.8,4.5,0.5290780141843971,,montfort village,wisconsin,midwest
31087,1192,76.6,20.4,96.2,1.3,3.3,0.8,0.0,4.0,4.0,0.4983221476510067,,monticello village,wisconsin,midwest
31088,801,77.9,21.2,97.3,0.2,3.7,0.4,0.0,1.9,2.2,0.5106117353308365,,montreal,wisconsin,midwest
31089,4452,74.1,18.4,97.2,1.1,2.0,1.8,0.0,2.2,2.4,0.49348607367475295,,mosinee,wisconsin,midwest
31090,289,85.5,31.1,97.9,0.3,1.4,0.3,0.0,2.4,1.7,0.5397923875432526,,mountain,wisconsin,midwest
31091,548,78.6,30.1,99.3,0.7,1.1,0.2,0.0,1.1,1.5,0.4726277372262774,,mount calvary village,wisconsin,midwest
31092,215,67.4,14.0,97.2,0.9,2.3,0.0,0.0,4.7,2.3,0.5255813953488372,,mount hope village,wisconsin,midwest
